,Index,Family,Genus,Scientific Name,Japanese Name,Other Name,Western Name,Derivation,Season,In Bloom,Signifies,Search Names,Variants,青（ムーンダスト）,ドラセナ・フラグランス（幸福の木）,青,トゲ,ヒメユリ,黄,クルマユリ,プリムラ・シネンシス,ジャーマンアイリス,ササユリ,カノコユリ,プリムラ・オブコニカ,葉,カサブランカ,ハゴロモジャスミン,白いつぼみ,シダレヤナギ,ソメイヨシノ,ドラセナ・サンデリアーナ（ミリオンバンブー）,実,四つ葉,オニユリ,オレンジ,サトザクラ、ヤエザクラ,ピンク,シダレザクラ,ハナショウブ,プリムラ・ポリアンサ,プリムラ・マラコイデス,ヤマユリ,赤,赤いつぼみ,スカシユリ,白,クチベニズイセン,テッポウユリ,紫,ラッパスイセン,緋色,ドラセナ・コンシンネ,花,赤・ピンク,ロベリア・カーディナリス,フユザクラ,カンザクラ,木,ギンモクセイ,プリムラ・ジュリアン,デンファレ,ネコヤナギ,ヤマザクラ,カキツバタ
ミニバラ,322,バラ科,バラ属,Rosa cv.,ミニバラ,['姫バラ、ミニチュア・ローズ'],['Miniature rose'],属名の学名「Rosa（ローザ）」は、古代ギリシア語でバラを意味する「rhodon（ロドン）」やケルト語で赤色を意味する「rhodd（ロッド）」が語源であるといわれます。英語では小型のバラという意味の「Miniature rose（ミニチュア・ローズ）」と呼ばれ、日本語でもミニバラと呼ばれます。,初夏,['5月～11月（主な開花期は5～6月）'],['特別の功績'],"['ミニチュア・ローズ', 'みにばら', 'ミニバラ', 'ヒメバラ', 'ひめばら', '姫バラ', 'みにちゅあ・ろーず']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ウツギ,36,アジサイ科,ウツギ属,Deutzia crenata,空木（ウツギ）,['卯の花（ウノハナ）'],['Deutzia'],和名の空木（ウツギ）は、幹の中心が空洞（中空）になっていることから「空ろ木（うつろぎ）」が転訛して空木になったといわれます。また、卯の花（ウノハナ）の別名もあります。属名の学名「Deutzia（ドイツァ）」は、スウェーデンの植物学者カール・ツンベルク（1743～1828）の後継者である、オランダの植物学者ヨハン・ドイツ（Johann van der Deutz / 1743～1784）の名前にちなみます。英語では、一般に「Deutzia」と呼ばれます。,初夏,['5月～6月'],['秘密'],"['うのはな', 'ウノハナ', 'ウツギ', '空木', '卯の花', 'うつぎ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ツキミソウ,183,アカバナ科,マツヨイグサ属,Oenothera tetraptera,月見草（ツキミソウ）,[],['Evening primrose'],夏の夕方に開花し翌朝にはしぼんでしまう月見草（ツキミソウ）。花名は、月が現れる時間帯に咲くことに由来するといわれます。,夏,['6月～9月'],['無言の愛情'],"['ツキミソウ', 'つきみそう', '月見草']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
デルフィニウム,193,キンポウゲ科,デルフィニウム属,Delphinium spp.,大飛燕草（オオヒエンソウ）,['デルフィニウム'],"['Delphinium, Larkspur']",属名の学名「Delphinium（デルフィニウム）」は、ギリシア語でイルカを意味する「delphis」を語源とし、この植物のつぼみの形がイルカに似ていることにちなみます。和名の大飛燕草（オオヒエンソウ）は、花の形がツバメが飛ぶ姿に似ていることに由来します。,初夏,['5月～6月'],['清明'],"['オオヒエンソウ', 'ダイヒエンクサ', 'だいひえんくさ', '大飛燕草', 'おおひえんそう', 'デルフィニウム', 'でるふぃにうむ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
クロッカス,96,アヤメ科,クロッカス属,Crocus spp.,クロッカス,['花サフラン（ハナサフラン）、春サフラン（ハルサフラン）'],['Crocus'],属名の学名「Crocus（クロッカス）」は、ギリシア語の「krokos（糸）」が語源となり、長く糸状に伸びるめしべをもつことに由来します。,早春,['2月～4月'],['青春の喜び'],"['花サフラン', 'くろっかす', 'はるさふらん', '春サフラン', 'ハナサフラン', 'はなさふらん', 'クロッカス', 'ハルサフラン']","['≪紫≫「愛の後悔」', '≪黄≫「私を信じて」']",[''],[''],[''],[''],[''],['私を信じて'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['愛の後悔'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
イチハツ,30,アヤメ科,アヤメ属,Iris tectorum,一初（イチハツ） 一八、鳶尾、逸初とも書く,[],"['Roof iris, Wall iris']",属名の学名「Iris（アイリス）」は、ギリシャ語で「虹」を意味し、虹のようにさまざまな色の美しい花を咲かせることに由来するといわれます。和名の「一初（イチハツ）」は、アヤメ属の植物の中で最初に咲き出すことにちなむといわれます。昔は、大風や火災を防ぐという俗信があり、農家の茅葺き屋根の頂上部にイチハツを植える風習がありました。そのことから英語では「Roof iris（屋根のアヤメ）」と呼ばれています。イチハツの学名「Iris tectorum」の種小名 “tectorum” も「屋根の」という意味です。,春,['4月～5月'],['使者'],"['イツハツトモカク', 'いつはつともかく', 'いちはつ', '一初', '一八', '逸初とも書く', 'イチハツ', '鳶尾']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
チューリップ,182,ユリ科,チューリップ属,Tulipa spp.,チューリップ,['鬱金香（ウッコンコウ）'],['Tulip'],属名の学名「Tulipa（チューリッパ）」は、ペルシャ古語で頭巾を意味する「tulipan（ツルバン）」を語源とし、頭に巻くターバンとチューリップの花姿が似ていることに由来するともいわれます。16世紀にトルコからヨーロッパにチューリップが持ち込まれ、多くの栽培品種が生み出されました。オランダでは17世紀に熱狂的なチューリップブームが起き、投機の対象にもなっています。日本には19世紀後半に渡来し、当時は鬱金香（ウッコンコウ）の名前で呼ばれました。英語では「Tulip（チューリップ）」と呼ばれます。,春,['3月～5月'],['思いやり'],"['ウッコンコウ', '鬱金香', 'ウコンカオリ', 'ちゅーりっぷ', 'うこんかおり', 'うっこんこう', 'チューリップ']","['≪赤≫「愛の告白」', '≪白≫「失われた愛」', '≪ピンク≫「愛の芽生え」「誠実な愛」', '≪黄≫「望みのない恋」「名声」', '≪紫≫「不滅の愛」']",[''],[''],[''],[''],[''],"['望みのない恋', '名声']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],"['愛の芽生え', '誠実な愛']",[''],[''],[''],[''],[''],['愛の告白'],[''],[''],['失われた愛'],[''],[''],['不滅の愛'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ヤマボウシ,342,ミズキ科,ミズキ属,Cornus kousa,山法師（ヤマボウシ）,['山桑（ヤマグワ）'],"['Kousa dogwood, Japanese dogwood']",属名の学名「Cornus（コーナス）」は、ラテン語の「cornu（角）」を語源とし、材質が堅いことにちなみます。和名の「山法師（ヤマボウシ）」は、中央の球状に集合した花を坊主頭に、4枚の白い花びらに見える総苞片（花を保護する葉）を白い頭巾に見立て、比叡山延暦寺の山法師になぞらえて名づけられました。英語では「Kousa dogwood」や「Japanese dogwood」などと呼ばれます。,初夏,['5月～7月'],['友情'],"['ヤマホウシ', 'ヤマグワ', 'やまぐわ', 'やまほうし', 'やまぼうし', '山法師', '山桑', 'ヤマボウシ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ヤナギ,339,ヤナギ科,ヤナギ属,Salix babylonica,枝垂柳（シダレヤナギ）,['糸柳（イトヤナギ）、垂り柳（シダリヤナギ）、大枝垂（オオシダレ）'],['Weeping willow'],柳（ヤナギ）の名前の由来は諸説あり、古くこの木で矢を作ったことから「矢の木」といい、それが転じたともいわれます。属名の学名「Salix（サリックス）」は、ケルト語の「sal（近い）」と「lis（水）」が語源となり、水辺に生育する種が多いことにちなむともいわれます。英語ではヤナギを「Willow（ウィロー）」と呼び、シダレヤナギを「Weeping willow（泣いているヤナギ）」、ネコヤナギを「Pussy willow（ネコのヤナギ）」と呼びます。,春,['3月～4月'],['従順'],"['たりやなぎ', 'おおしだれ', 'シダレヤナギ', 'シダリヤナギ', 'いとやなぎ', 'おおえだすい', 'タリヤナギ', 'しだれやなぎ', 'イトヤナギ', '大枝垂', 'オオエダスイ', '枝垂柳', '垂り柳', 'オオシダレ', 'しだりやなぎ', '糸柳']","['≪シダレヤナギ≫「悲哀」', '≪ネコヤナギ≫「努力が報われる」']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['悲哀'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['努力が報われる'],[''],['']
ベロニカ,290,オオバコ科,クワガタソウ属,Veronica,ベロニカ,['瑠璃虎の尾（ルリトラノオ）、ヴェロニカ'],['Speedwell'],属名の学名「Veronica（ベロニカ）」は、キリスト教の聖女ベロニカ（Veronica）に捧げられたものといわれます。また、この属が元々「Vetto-nica（ベットニカ）」であったものが変じて「Veronica」になったともいわれます。,夏,['6月～10月（種類による）'],['忠実'],"['べろにか', 'ヴェロニカ', 'ゔぇろにか', 'ベロニカ', 'ルリトラノオ', 'るりとらのお', '瑠璃虎の尾']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ウメ,37,バラ科,サクラ属,Prunus mume,梅（ウメ）,['好文木（コウブンボク）、春告草（ハルツゲグサ）、木の花（コノハナ）、初名草（ハツナグサ）、香散見草（カザミグサ）、風待草（カゼマチグサ）、匂草（ニオイグサ）'],"['Japanese apricot, Plum blossom（ウメの花）']",花名のウメの語源には諸説あります。中国語の「梅（メイ）」が転訛したとする説、薬用に燻製にした実が「烏梅（ウメイ）」として伝来して転訛したとする説、花の美しさから「愛目（うめ）」が転じた説などがあります。,早春,['1月～3月'],['高潔'],"['こうぶんぼく', 'キノハナ', 'コウブンボク', 'カザミグサ', 'うめ', 'はるつげぐさ', 'はつなぐさ', '初名草', 'しょめいくさ', 'におくさ', 'ハツナグサ', '梅', 'このはな', 'かぜまちぐさ', 'きのはな', '好文木', 'コノハナ', '木の花', '匂草', 'ハルツゲグサ', 'カゼマチグサ', 'ニオイグサ', '春告草', 'こうぶんき', 'ハルツゲクサ', 'ショメイクサ', 'ウメ', 'ニオクサ', 'かおりさんけんくさ', '香散見草', 'かざまちくさ', 'はるつげくさ', 'カザマチクサ', 'においぐさ', 'コウブンキ', 'カオリサンケンクサ', 'かざみぐさ', '風待草']",['≪白≫「気品」'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['気品'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ヒガンバナ,247,ヒガンバナ科,ヒガンバナ属,Lycoris radiata,彼岸花（ヒガンバナ）,['曼珠沙華（マンジュシャゲ）、天蓋花（テンガイバナ）、リコリス'],"['Red spider lily, Red magic lily, Hurricane lily']",和名の「彼岸花（ヒガンバナ）」は、秋の彼岸の頃に開花することに由来します。また、毒のあるこの植物を食べた後には「彼岸（＝死）」しかない、ということに由来するという説もあります。別名の「曼珠沙華（マンジュシャゲ）」は、法華経などの仏典に由来します。,秋,['9月'],['悲しき思い出'],"['曼珠沙華', 'ひがんばな', 'リコリス', 'テンガイバナ', 'マンジュシャゲ', 'ヒガンハナ', '天蓋花', 'てんがいばな', 'りこりす', '彼岸花', 'ひがんはな', 'まんじゅしゃげ', 'ヒガンバナ', 'てんがいはな', 'テンガイハナ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
チューベローズ,181,キジカクシ科,チューベローズ属,Polianthes tuberosa,チューベローズ,['月下香（ゲッカコウ）'],['Tuberose'],属名の学名「Polianthes（ポリアンサス）」はギリシア語で「白い花」を、種小名の「tuberosa（チューベロサ）」はラテン語で「ふくらんだ、塊根状の」を意味し、この植物が球根を形成することに由来します。英語では「Tuberose（チューベローズ）」と呼ばれます。チューベローズは香りが高く、とくに夕方から香りが強くなるため、月下香（ゲッカコウ）の別名もあります。,夏,['7月～9月'],['危険な快楽'],"['月下香', 'げっかこう', 'げっかかおり', 'ちゅーべろーず', 'ゲッカカオリ', 'チューベローズ', 'ゲッカコウ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
レンゲソウ,367,マメ科,ゲンゲ属,Astragalus sinicus,紫雲英（ゲンゲ）、翹揺（ゲンゲ）,['蓮華草（レンゲソウ）、翹揺草（ゲンゲソウ）、蓮華（レンゲ）'],['Chinese milk vetch'],正式な名称は「紫雲英 / 翹揺（ともにゲンゲ）」。別名の「蓮華草（レンゲソウ）」は、この花がハス（蓮）の花に似ていることに由来します。また、「蓮華（レンゲ）」とも呼ばれます。英名の「Chinese milk vetch（中国のミルクのスズメノエンドウ）」は、この草をヒツジが食べると乳が増えるという意味であるといわれます。,春,['4月～5月'],['あなたと一緒なら苦痛がやわらぐ'],"['れんげそう', '翹揺草', 'げんげ', 'げんげそう', '蓮華', 'ゲンゲソウ', 'ぎょうようくさ', 'ギョウヨウ', '蓮華草', 'れんげ', 'れんげくさ', 'ぎょうよう', 'ギョウヨウクサ', '翹揺', 'レンゲクサ', 'レンゲソウ', 'ゲンゲ', 'レンゲ', '紫雲英']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ヤマブキ,341,バラ科,ヤマブキ属,Kerria japonica,山吹（ヤマブキ）,['面影草（オモカゲグサ）'],"['Kerria, Japanese kerria, Japanese rose']",和名の「山吹（ヤマブキ）」は、細くしなやかな枝が風に揺れる様子から「山振り（やまぶり）」と呼ばれ、それが転訛したものといわれます。また、春になると黄色い花で山が埋めつくされるさまの「山春黄（やまはるき）」が変化したという説もあります。属名の学名「Kerria（ケリア）」は、スコットランドの植物学者ウィリアム・カー（William Kerr / ～1814）の名前にちなみます。,春,['4月～5月'],['気品'],"['やまぶき', 'ヤマブキ', '面影草', 'オモカゲグサ', 'おもかげくさ', 'おもかげぐさ', '山吹', 'オモカゲクサ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
サイネリア,131,キク科,ペリカルリス属,Pericallis × hybrida,シネラリア,,"['Cineraria, Florist’s Cineraria']",正式名称はシネラリアですが、名前が「死」を連想させるため、多くはサイネリアの名で販売されています。,冬～春,['12月～4月'],['いつも快活'],"['ふうきさくら', 'フキザクラ', '蕗桜', 'サイネリア', 'ふうきざくら', 'さいねりあ', 'しねらりあ', 'フキサクラ', 'ふきざくら', 'ふきさくら', 'フウキサクラ', 'シネラリア', '富貴桜', 'フウキザクラ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ヤツデ,337,ウコギ科,ヤツデ属,Fatsia japonica,八手（ヤツデ）,['天狗の羽団扇（テングノハウチワ）'],"['Japanese aralia, Fatsia']",属名の学名「Fatsia（ファトシア）」 は、日本語の八（はち）や八手（はっしゅ）の読みに由来するといわれます。和名の「八手（ヤツデ）」は、指を開いた手のひらのように葉に8～9つほどの深い切れ込みがあることにちなみます。別名の「天狗の羽団扇（テングノハウチワ）」は、大きい葉に魔物を追い払う力があると考えられて名付けられたとも、葉の形が天狗が持っている羽団扇に似ていることにちなむともいわれます。英語では「Japanese aralia」や「Fatsia」などと呼ばれています。,晩秋,['11月～12月'],['健康'],"['てんぐのはうちわ', 'ヤツデ', 'テングノハウチワ', '八手', 'やつで', '天狗の羽団扇']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
プルメリア,279,キョウチクトウ科,インドソケイ属,Plumeria rubra,インド素馨（インドソケイ）,['プルメリア'],"['Plumeria, Frangipani, Temple tree']",属名の学名「Plumeria（プルメリア）」は、フランスの植物学者で中米、南米に赴き、アメリカ大陸の植物を研究したシャルル・プリュミエ（Charles Plumier / 1646～1704）の名前にちなみます。英語では別名「Temple tree（寺院の木）」とも呼ばれますが、プルメリアが熱帯地域の寺院に多く植えられていることに由来します。,夏,['6月～10月'],['気品'],"['インドソケイ', 'インド素馨', 'いんどそけい', 'ぷるめりあ', 'プルメリア']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
コリウス,111,シソ科,コリウス属,Coleus blumei,コリウス,['金襴紫蘇（キンランジソ）、錦紫蘇（ニシキジソ）'],"['Coleus, Painted nettle']",属名の学名「Coleus（コリウス）」は、ギリシア語の「Koleos（さや）」を語源とし、花序が刀のさやに似ていることにちなむといわれます。シソに似て、葉に赤や黄色など多彩で鮮やかな斑模様があることから「錦紫蘇（ニシキジソ）」や「金襴紫蘇（キンランジソ）」の別名もあります。,初夏～秋,[],['かなわぬ恋'],"['にしきじそ', 'こりうす', 'きんらんしそ', 'コリウス', 'ニシキジソ', 'にしきしそ', 'キンランシソ', '金襴紫蘇', 'キンランジソ', 'きんらんじそ', '錦紫蘇', 'ニシキシソ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
マーガレット,[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['恋占い'],[''],[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ロウバイ,369,ロウバイ科,ロウバイ属,Chimonanthus praecox,蝋梅（ロウバイ）,['唐梅（カラウメ）'],"['Wintersweet, Japanese allspice']",和名の「蝋梅（ロウバイ）」は、花びらが蝋（ろう）のような色で、また、臘月（ろうげつ、旧暦12月）に花を咲かせることに由来するといわれます。,冬,['12月～2月'],['ゆかしさ'],"['からうめ', '蝋梅', 'カラウメ', 'ロウバイ', 'とううめ', 'トウウメ', 'ろうばい', '唐梅']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
キク,80,キク科,キク属,Chrysanthemum morifolium,家菊（イエギク）,['星見草（ホシミグサ）、千代見草（チヨミグサ）'],"['Chrysanthemum, Florist’s daisy, Hardy garden mum']",菊の名前は、「窮まる（きわまる）」がその語源となり、「一年の最後に咲く花」という意味であるともいわれます。属名の学名「Chrysanthemum（クリサンセマム）」は、ギリシア語の「chrysos（黄金）」と「anthemon（花）」が語源になります。,秋,['9月～11月'],['高貴'],"['ほしけんくさ', 'ホシケンクサ', 'ホシミグサ', '千代見草', 'ちよけんくさ', '家菊', '星見草', 'イエギク', 'いえきく', 'ちよみぐさ', 'イエキク', 'チヨミグサ', 'ほしみぐさ', 'チヨケンクサ', 'いえぎく']","['≪赤≫「あなたを愛してます」', '≪白≫「真実」', '≪黄≫「破れた恋」']",[''],[''],[''],[''],[''],['破れた恋'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['あなたを愛してます'],[''],[''],['真実'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
コチョウラン,106,ラン科,ファレノプシス属,Phalaenopsis aphrodite,胡蝶蘭（コチョウラン）,['ファレノプシス、モスオーキッド'],"['Phalaenopsis, Moth Orchid']",胡蝶（コチョウ）は、蝶そのものや蝶をモチーフにした舞楽を指し、花名の胡蝶蘭は、白く大きな花の姿が、蝶が舞うようにみえることに由来します。学名の「Phalaenopsis aphrodite」は、ギリシア神話の愛と美と豊穣の女神アプロディーテー（Aphrodite）に由来します。,周年,['周年（温室）'],['幸福が飛んでくる'],"['ふぁれのぷしす', 'こちょうらん', 'もすおーきっど', 'コチョウラン', 'ファレノプシス', '胡蝶蘭', 'モスオーキッド']","['≪白≫「清純」', '≪ピンク≫「あなたを愛してます」']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['あなたを愛してます'],[''],[''],[''],[''],[''],[''],[''],[''],['清純'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ブドウ,267,ブドウ科,ブドウ属,Vitis vinifera,ヨーロッパブドウ,[],['European grape'],属名の学名「Vitis（ビティス）」はラテン語で「ブドウの木」を意味します。「Vitis」の語源はラテン語の「vita（生命）」であるともいわれます。「葡萄（ブドウ）」の名前は、中央アジアのフェルガナ地方（ウズベキスタン）に存在した大宛国のブダウ（ブドウ酒）が語源となり、中国に入ってプタオとなり、葡萄という漢字音をあてたといわれています。,春,['5月～6月（実の収穫期は8～10月）'],['陶酔'],"['よーろっぱぶどう', 'ヨーロッパブドウ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
オオイヌノフグリ,46,オオバコ科,クワガタソウ属,Veronica persica,大犬の陰嚢（オオイヌノフグリ）,['星の瞳（ホシノヒトミ）'],"['Persian speedwell, Large field speedwell, Birdeye speedwell']",花名のフグリとは陰嚢のことであり、実の形が雄犬のそれに似ていることに由来します。ただし、これは近縁で日本の在来種であるイヌノフグリに対してつけられたもので、この花の果実はハート形で似ていません。従ってイヌノフグリに似た大型の植物という意味になります。,早春,['2月～5月'],['忠実'],"['おおいぬのいんのう', '大犬の陰嚢', 'おおいぬのふぐり', 'オオイヌノフグリ', 'オオイヌノインノウ', 'ホシノヒトミ', 'ほしのひとみ', '星の瞳']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
エリカ,44,ツツジ科,エリカ属,Erica spp.,エリカ,['ヒース、ハイデ'],['Heath'],ヨーロッパではエリカが荒野に多く自生するため、イギリスでは「荒野」を意味するヒース（Heath）、同じくドイツではハイデ（Heide）と呼ばれています。属名の学名「Erica（エリカ）」は、ホウキを意味するラテン語のエリック（eric）を語源とし、かつてエリカ属であったカルーナの枝でホウキをつくったことに由来するとみられています。,冬～春,['11月～4月（種によって異なる）'],['孤独'],"['ハイデ', 'エリカ', 'はいで', 'ひーす', 'ヒース', 'えりか']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ムラサキケマン,329,ケシ科,キケマン属,Corydalis incisa,紫華鬘（ムラサキケマン）,['藪華鬘（ヤブケマン）'],['Murasaki-keman'],属名の学名「Corydalis（コリダリス）」は、ギリシア語の「Korydallis（ヒバリ）」を語源とし、花の形にちなむといわれます。和名の「紫華鬘（ムラサキケマン）」は、仏殿の内陣を美しく飾る仏具の華鬘（けまん）に花姿が似ていることから名づけられたといわれます。英語では和名と同じ「Murasaki-keman」と呼ばれるようです。,春,['3月～5月'],['喜びあなたの助けになる'],"['藪華鬘', 'やぶけまん', 'むらさきけまん', 'ヤブケマン', 'ムラサキケマン', '紫華鬘']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
